LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.292, Time: 2.724900 s
         1461196 function calls (1445815 primitive calls) in 3.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      608    0.000    0.000    0.001    0.000 _compiler.py:396(_simple)
     27/7    0.000    0.000    0.001    0.000 core.py:4409(streamline)
        1    0.001    0.001    0.001    0.001 datetime.py:893(date)
      409    0.000    0.000    0.001    0.000 copy.py:259(_reconstruct)
        1    0.000    0.000    0.001    0.001 dviread.py:1(<module>)
        3    0.000    0.000    0.001    0.000 enum.py:891(_convert_)
       36    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
        1    0.001    0.001    0.001    0.001 axis.py:43(Tick)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:274(load)
        1    0.000    0.000    0.001    0.001 expat.py:1(<module>)
       10    0.000    0.000    0.001    0.000 core.py:2791(_generateDefaultName)
      285    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
     2594    0.001    0.000    0.001    0.000 _parser.py:172(append)
